userName;score;at;content;Kategori
Ricky Ardian;1;16/11/2022 07.55;sejauh ini semua baik tapi sangat di sayangkan mengisi saldo non tunai nya sangat tidak mudah !!! , harus ke gerai alfamart , padahal pakai apk ini supaya gak susah keluar rumah, semoga segera di perbaiki !!!!;Negatif
Faizan matin;4;16/11/2022 06.14;Bagus untuk layanannya dan harganya,tapi ada kurangnya yaitu aplikasinya,maps nya tidak lengkap/sulit menentukan lokasi/nama lokasi salah tidak sesuai.dan harga di aplikasi dengan di driver berbeda,di aplikasi tertulis harga diskon tapi saat sudah sampai di tujuan harga tetap normal tidak kurang.tolong di tingkatkan lagi,tingkatkan aplikasinya kalo harganya jangan.;Positif
Zul - uncu;4;16/11/2022 04.46;Applikasi kacau, fitur applikasi kurang lengkap dr maps kurang pas penggagalan pesanan juga gk bisa, bermenit2 order nungguin gk tentu di gagalin gk bisa di tunggu ngabisin waktu, driver di tuntut harus menerima pesanan agar orderan terlayani dan pemesan harus menunggu waktu yg lama tanpa ada pilihan untuk pembatalan pesanan, mohon d perbaiki ,;Positif
Elly Yanti;5;15/11/2022 11.45;makasih atas ke sabaran drivernya yang mau menunggunya lama karena saya bawa anak bayi masih umur 8 bulan , perjalanan bawa anak saya sangat nyaman selamat sampai tujuan ke rumah saya driver sangat sopan dan baik sekali thanks.;Positif
steven husada;1;15/11/2022 10.41;Banyak bugnya seperti contohnya saat cancel butuh 10 kalo klik karena sulit sekali untuk mengcancel. Dilain itu juga dalam hal peta sering sekali ngaco;Negatif
Siti Nurhaliza Hasni;3;15/11/2022 10.34;Aplikasinya rada ribet, tarifnya murah dibandingkan aplikasi lain, tapi nyari drivernya susah, drivernya pilih pilih harga tarif.;Negatif
Suci Wulan Sari;2;15/11/2022 10.21;Aplikasi gk jelas/ driver nya yg kurang jujur.. Di aplikasi waktu tunggu 16 menit padahal gk sampai 16 menit.. 16 menit mahh waktu dri posisi driver ke JEC. Kok bisa??? Atau ini akal2an driver nya biar customer kena waktu tunggu lama.. Astaghfirullah.. Mahal2 juga kena nya. Jdi yg jls2 aja skrg mah Grab/GoJek aja, nyari tempat nya juga lebih mudah..;Negatif
Dhilla Amakura;1;15/11/2022 10.07;Map tidak lengkap, ongkos murah tp php, driver selalu minta naikkan tarif ongkos...apaan ini lebih ribet perasaan gr2 nego ongkos jdinya makan waktu lama...gk recomen ini sprtinya buat daerah saya...perbaiki y ini, klu gk y bukan style saya sptnya pakai maxim ini..;Negatif
Shiraishi Urara;3;15/11/2022 08.01;Mohon appnya di update lebih baik lagi karena banyak driver yg nyasar pas mau sampe di lokasi penjemputan soal harga dan drivernya udh sip hanya itu saja trima kasih;Negatif
CTR Channel;3;15/11/2022 06.22;Maps Ngaco tidak lengkap, Masih banyak Bug, Mohon untuk tim QA & Dev bisa update untuk maps nya, agar lebih nyaman untuk digunakan;Negatif
Widian Widian;3;15/11/2022 04.03;Saya harap driver maxim pada jujur tdk melebihkan harga makanan dll krn tdk semua pelanggan maxim mmbayar sesuai harga aplikasi pasti ada yg ksh uang tips kok + klo memang niat jadi driver jgn pilih2 orderan dong bnyk disekitar tp bgtu ada orderan masuk gk di ambil, Hmm Payah.;Negatif
Abdul Hafidh;5;15/11/2022 02.50;Sangat ramah, dan nyaman... Sepertinya sudah pengalaman lama bawa mobil manual sehingga naik luxio bisa terasa sangat nyaman... Ketahihan rasanya ingin order kembali;Positif
Aulia Safitri;1;15/11/2022 00.58;Udh kesekian kali nya saya berantem sm driver maxim cuma grgr salah titik. Pdhl emg aplikasi nya yg kurang bagus untuk lokasi blm semua ke track. Disatu sisi saya sdh cht memberi instruksi yg lebih detail, tp tidak pernah di tanggapi oleh driver ojek tersebut. Malah tetap mengikuti titik. Dan titik sm instruksi itu tidak jauh sm sekali. Dan untuk pembayaran masih jelek sekali, tidak bsa cashless harus bener2 cash. Tolong di tingkatkan lg!!!;Negatif
Juli Ansyah;3;14/11/2022 23.10;tolong dong untuk masalah penempatan lokasinya di permudahkan lagi,misalkan ni teman saya yg minta tolong untuk pesankan Maxim,terus dia kirim alamanya nah di situ saya susah untuk mencari alamatnya/memindahkan alamatnya di titik penjemputan;Negatif
mayaaa nur;1;14/11/2022 11.42;Driver nya gak pada sopan ,,, beberapa kali saya naik Maxim saya temuin driver nya gak ada tatakramanya sekali malah penumpang nya di marahi gara gara gak tau jalan apa gunanya goggle map yang di Pampang didepan motor padahal ongkos sudah di lebihin tapi gak ada kata kata terimakasih;Negatif
raymundus rikhy;4;14/11/2022 10.29;past respon sih, mantep,. tapi tolong diperbaharui lagi alamat untuk mapnya, kurang jelas. seperti NAMA JALAN, RT/RW, atau NO. RUMAH. biar semakin banyak peminat MAXIMnya, TERIMA KASIH 🙏 semoga jaya terus maxim;Positif
Wahyuni Yuni;5;14/11/2022 09.17;untuk biaya sendiri memang sdh baik, tapi untuk detail penjemputan itu masih kurang menurut saya, ada baiknya jika diberikan jika memberikan rekomendasi warung atau cafe sebagai referensi untuk dibeli;Positif
Nuridatul Amin;1;14/11/2022 07.41;Kecewa, dulu sering pakai aplikasi ini baik2 aja dan murah tapi kenpa akhir-akhir ini mau pesan tidak bisa, ongkos tidak muncul dan saat di klik memesan suruh coba lagi terus, sampai instal ulang tetep aja gitu. apa ada solusi.?;Negatif
Wawan harmin;1;14/11/2022 05.55;"Ajung memang aplikasi ini tarifnya naik"" terus udah bagi pengguna Maxim hapus ajh aplikasi nya sudah gak jelas lagi aplikasi nya tarifnya naik"" terus skrang aplikasi gak jelas saya pengguna Maxim tapi kalo seperti ini saya hapaus aplikasi nya kecewa";Negatif
eko suprayitno;4;14/11/2022 02.28;sy kasih bintang 4, Krn masih agak susah untuk menentukan titik tujuan dan driver kurang banyak, tp untuk harga lebih murah dr lainnya...semoga lebih baik lagi...;Positif
Firman Adriansyah;5;14/11/2022 01.37;pengalaman pertama menggunakan Maxim yang menyenangkan, terimakasih Maxim dah mengantarkan saya dengan sangat baik, bakal jadi pelanggan tetap, Krn kualitas lebih baik dari yg sebelah dan harga jauh lebih murah dari sebelah...;Positif
Tri Aldino Rachmat;1;14/11/2022 00.56;Kesan pertama, di order pertama menggunakan aplikasi maxim : 1. Driver tidak ramah. 2. Driver tidak jujur. 3. Call center slow respon dan hanya siap di jam kerja. Ini kesan order pertama dan mungkin order terakhir saya.;Negatif
Dani Ardiansyah;1;13/11/2022 23.14;Aplikasi suka error dan susah nyari driver walaupun banyak driver disekitar tapi susah untuk didapatkan terus juga sudah dicancel tapi drivernya masih tetap ngechat;Negatif
Jeck Style;1;13/11/2022 20.23;Tolong untuk akurasi lokasinya di perbaharui dulu...soalnya sama driver selalu salah paham terus.karna lokasinya tidak akurat. Masa kalah sama greb dan gojek.;Negatif
hardi nugraha;5;13/11/2022 17.53;aplikasi yg sangat membantu ditambah harganya yg murah dan ramah dikantong....semoga layanan Maxim dapat lebih ditingkatkan agar penumpang merasa aman,nyaman dan order Maxim terus;Positif
Fajar Senjaya;4;13/11/2022 14.55;untuk harga lumayan murah ...di banding aplikasi online berbaju ijo,hanya masukan tolong titik penjemputan nya di perjelas/di sempurnakan lagi...semakin maju toek Maxim ☺️;Positif
Diva May Friska;1;13/11/2022 14.42;Sebagai pengguna maxim sudh hampir 1 ½ tahun. Baru kmrn rasanya dapat driver yg tidk menyenangkan dari menjemput tidak sesuai lokasi dan driver juga marah² serta saya hampir dibawa diluar rute perjalanan. Kecewa sekalinya;Negatif
Katrin Oktiliani;1;13/11/2022 13.10;Tolong buat apknya lebih dimaksimalkan lagi;Negatif
Eko Kusuma;1;13/11/2022 12.48;Baru pertama pake maxim, harga tertera 52.500 pas nyampe jadi 63.000 padahal sebelum driver dateng kita udah di lokasi.. Ngga ada cerita nya driver nunggu2.. Udah cukup sekali aja.. Uninstall deh.. MALES!!!;Negatif
Yanti sun Lawani;5;13/11/2022 10.42;Layanan cepat,murah dan ramah,. saran,.kiranya agar lebih ditingkatkan lagi kualitas titik maps'x,.sebab belum semua titik dalam maps bisa nampak/muncul dalam jangkauan maxim,.. salam semangat!!!maxim termurah,.is,.the best..;Positif
Inisial_Y;5;13/11/2022 10.14;maxim luar biasa, lebih murah dari pada apk yg lain. tetap konsisten pasang harga murah biar selalu di jadikan prioritas customer ojol ya hehe😁;Positif
SYAMSUDIN;1;13/11/2022 06.34;Saya turut prihatin dengan adanya tarif yang nggak sesuai dengan peraturan pemerintah...( Kasian drivernya apalagi yang mobil...) sangat nggak masuk diakal.. Pantesan saja driver banyak yg pilih pilih orderan.;Negatif
yuyun setiawati;1;13/11/2022 06.09;Sangat kecewa. Setiap order food, gak pernah dapat pengemudinya, malahan terus mencari pengemudi dan ending nya selalu gagal. Udah jangan ada lagi order food, delivery, dll klo selalu susah. Terus peta nya diputer puter supaya jarak nya jauh, pdhl dkt..;Negatif
sakka tunggal;2;13/11/2022 02.42;perbahariu lagi aplikasinya orderan jangan pilih2 ketatin peraturan dan perbaharui update mapsnya...masa nyari alamat di jakarta aja gak ada padahal sekelas JAKARTA lo udah lagi yang dicari juga salah satu UNIVERSITAS ternama kok gak ada di aplikasinya ....;Negatif
obeth lio;2;13/11/2022 02.15;Tolong donk map harus komplit seperti aplikasi yg lain bagus bagus. Maxim susah sekali kita pesan daerah sama sama jakarta byk yg gk terdaftar di map, munculnya gk jelas. Masa kalah sama yg lain. Terus klo sdh pesan gk bsa di cancel kan ribet jadinya.i'm sorry this time give enough love two.;Negatif
Ahmad Jaly;3;12/11/2022 16.21;Tarif harganya si ok murah di banding ojol yang lain.. Tapi sayangnya fitur GPS & MAP nya ngaco susah buat nyari alamat tujuan enggak ketemu-ketemu. Nyari alamat tujuan susah bener Tolong di perbaiki lagi di fitur itu biar lebih mudah lagi mencari alamat di fitur MAP & GPS nya..;Negatif
Syintia Monika;1;12/11/2022 12.25;ajarin driver nya pake aplikasi dong, masa nyasar mulu, udah sering iniiiii, tolong maps nya juga di perbaiki, kesel banget gue, mana driver nya sensian lagi, padahal di titik udah sesuai loch, makasi;Negatif
Aurelia Da Silva;1;11/11/2022 15.19;aplikasi taik, ordernya udh lama, kadang sekali order entah knp tiba2 dobel, susah dpt orderan. Lokasinya ngk sesuai. Apa lagi otomatis, 👎👎👎grab terbaik 👍👍👍👍;Negatif
Yuu Helciyon;1;11/11/2022 12.01;Kalo kita mau di jemput trus gk ada nama tempat kita di maxim, susah buat baca lokasi terkini. Trus para bike suka menaikkan tarif yg tidak sesuai dgn harga di dalam maximnya. Misal di maxim tertera 10.000, eh pas bayar malah di minta 11.000. Emang cuma seribu, tapi selama pesan 3 bike selalu kek gitu. Gk ada jujurnya sama sekali;Negatif
firda maulida;1;11/11/2022 11.49;Errorrr parahhhhhh. Setahun lalu pernah make ini aplikasi kesan pertama bintang 1 saya fikir skrng sudah ada perbaikan ternyata NOL besar.;Negatif
Vanness Cu;1;11/11/2022 09.19;Halo MaximID, saya ingin kasih saran untuk kamu. Tolong untuk tampilan harga ongkos di driver diperbaiki lagi, soalnya saya menggunakan saldo yang saya isi di kode promo tersebut. Dan pada saat saya memesan di handphone saya tertera harga 11.1K tetapi di driver tertera masih harga normal. Jadi si driver tidak tau kalau harga aslinya 11.1K. Sebaiknya tampilan harga ongkos di driver menampilkan harga yang ada di konsumen sehingga tidak terjadi salah paham. Terima kasih;Negatif
Nadya Arlajonda;3;11/11/2022 08.15;Hai maxim, tolong drivernya di perhatikan lagi. Karena pembayaran hanya bisa menggunakan tunai, para driver menggunakan kesempatan itu untuk meminta lebih ongkosnya. Kemarin saya pesan dari stasiun malang ke kos saya 2x dapat driver meminta ongkos 2x lipat dengan alasan hujan. Padahal saya memesan yang mobil bukan motor. Tolong di tegasin lagi untuk driver yg main curang seperti ini, saya memilih maxim karna lebih murah dari ojol yang lain. Terima kasih;Negatif
Taty Sampara;2;11/11/2022 04.17;Maaf yaa ini pengalaman gak enak banget driverx ngotot alamatx gak sesuai titik, nyalahin kons...kan gak relevan kt d apk mapx gak neko2, koq d driver malah mapx beda jg, nuntut mnt nambahin ongkosx. Tingkatkan pelayananx jgn mentang2 murah, apkx jd murahan. Jgn nnti d tgl pelanggan baru mau di bagusin mutux.;Negatif
Yudi;1;10/11/2022 23.08;Turun ke bintang 1 krn tdk ada perbaikan dr 1 th lalu,jwban akan jd perhatian kami hanya sekedar jwban tp tdk ada perubahan, tetep titik yang di tuju sering gak ada d map, padahal daerah perkotaan, trus pembayaran jg cuma bisa tunai gak ada pembayaran non tunai, klu g ada uang pas , dan driver gak ada kembalian suka repot, mana tarif ny makai angka koma2 di belakang lg, klu msh spt ini jgn mimpi nyaingin gojek dan grab krn yg di butuhkan konsumen bukan hanya tarif murah;Negatif
GAPURA CHANEL;1;10/11/2022 15.19;Oknum Driver nya rada sengklek, pantang bawa barang sikit, langsung minta tambah ongkos gx mikir2. Bisa sampe 2x lipat, pdhl kita udh mesan mobil yg bagasi nya besar, yg naik cuman 2org. Buat apa itu mesan yg bagsi nya besar,. Ya buat bawa barang lah. Komplen ke aplikasi juga g guna, gx kaya si hijau, kita komplen langsung action.;Negatif
Ayu Condro Kartiko Marsudiana;1;10/11/2022 12.05;Kecewa sama apk dan drivernya. Tiap dapat dicancel terus. Driver banyak di sekitar lokasi tapi kesannya pilih² banget. Susah dapat driver. Titik lokasi nggak tepat. Salah titik terus. Kl bisa bintang minus saya kasih bintang minus sekalian !!!;Negatif
reynaldy duvan;3;10/11/2022 06.04;Drivernya emang baik, tapi kenapa selalu beda harga, di aplikasi saya dengan aplikasi drivernya, kemaren juga harga dari makanan juga beda, tolong di perbaiki, saya sudah senang dengan pelayanannya tak kasih bintang 3 dulu. Kalo udh enak tak kasih 5;Negatif
Rani Masruiyah;1;10/11/2022 02.48;Order maxim bike tdk sesuai dgn plat nomor tanpa konfirmasi dr driver, penumpang sdh menunggu lama krn tdk ketemu. 3x order di batalkan dgn driver, sekali penumpang membatalkan tdk bisa. Di beri penilaian driver penumpang palsu, padahal kita sdh menunggu terlalu lama di Php trs. Lokasi GPS tdk akurat, msh bnyk driver maxim yg tdk menggunakan atribut maxim. Mohon d perbaiki;Negatif
ahmad munaryo;5;10/11/2022 00.21;Alhamdulillah maxim lancar dan drivernya juga baik2 banget...trimakasih maxim...mudah2an setelah di perbarui semakin baik ya...🤲🏻🤗💗;Positif
Annisa Luthfi;1;09/11/2022 23.14;memang murah, sisanya dibayar pakai sabar. . sabar karna drivernya nyasar terus, titik di aplikasi hampir selalu tidak tepat. udah ditulis pesanan rinci dan ancer2 biar ga nyasar tetep aja tidak dibaca/ tidak kebaca. .;Negatif
Abah Sunda;4;09/11/2022 11.18;Map dan alamat belum sempurna masih belum mendetail jadi klo ketik alamat penjemputan dan tujuan harus dicari lewat peta itupun belum detail banget;Positif
Putri Cita Asmara;1;09/11/2022 08.46;Aplikasinya eror, titik jemputnya tiba tiba berubah padahal sebelum order udah bener. Terus waktu mau dibatalin nggak bisa malah order lagi, akhirnya pengemudi tetep berangkat ke tempat tujuan. Untung titik jemputnya di rumah, jadi bisa dibayar sama orang rumah;Negatif
Rastra Cewakotama;5;09/11/2022 07.01;Aplikasi paling murah dari yg lain. Tapi tolong mapsnya lebih akurat lagi dan di perluas,biar nggak nyasar dan bingung pilih titik lokasi. Gimana caranya top up saldo customer 😪😪 ?;Positif
Yerus Seran;4;09/11/2022 01.46;Secara transportasi sudah bagus, tp tdk untuk pemesanan makanan, kalo yg tempat yg kita pesan tempatnya masih tutup, lalu mau batalkan gak bisa, harus dr drivernya, kasian gara2 tempat makanannya gak buka, jadinya harus rating driver yg jadi korban, mohon diperbaiki lg maxim.;Positif
drh ita;1;08/11/2022 23.35;mapnya jelek bgt bgt.. aduh.. patokannya g jelas, driver sering skali nyasar krn map tidak presisi. ada bayaran tambahan kl driver mnunggu lebih dri 3 menit tp kl penumpang menunggu lebih dari 10 menit, tdk ada diskon atw kompensasi.. sistemnya aneh. hapuskan sy biaya tambahan waktu tunggu driver krn tdk fair.. sy sll pesen lebih awal spy sy tdk menungga lama, giliran sy kasi waktu lama, eh krn driver nunggu sy lebih dri 3 menit, sy kena biaya tambahn. kl sy pesan pas sy sdh siap, sy nunggu lama;Negatif
Apri Mariana Maupada;5;08/11/2022 16.03;Bapaknya ramah, walaupun udah tengah malam dan sangat susah buat cari pengemudi dengan harga normal , harga yg ditawarkan pengemudi yg lain juga sangat mahal, tapi bapaknya tetap terima orderan dengan harga normal tanpa ada biaya tambahan. semoga rezekinya Berlipat Ganda Amin;Positif
papa muda;5;08/11/2022 12.43;Menurut sepengalaman saya.. maxim baik kok.. selaih murah..drivernya juga ramah dan cepat kok ngerspon ..untuk saat ini yahh.. masih oke lah...;Positif
Rahmat Putra;1;08/11/2022 07.53;Setelah di update jadi tidak bisa cek ongkir otomatis lewat shareloc di Wa Mengecewakan ,bukannya malah bagus setelah update malah gini;Negatif
Iskandar Fian;1;08/11/2022 07.22;Maxim ini kalau kita sebagai customer komplain itu suka di kasih tau sama driver nya bahwa ... ada komplainan dari penumpang ..terus nama penumpang nya di kasih tau... ya jelas lah kita yg kompalin jadi berantem... setiap kita order dapet driver nya beda sama aplikasi...begitu kita komolain pihak aplikasi maxim TIDAK MENJAGA RAHASIA DATA CUSTIMER... BAHAYA!!!!!;Negatif
Mius Christopher Han;1;08/11/2022 06.53;Apilkasi membingungkan... mau pesan barang aja harus masukin tempat ini itu... harusnya seperti aplikasi lain kak... yang tggl menghitung jarak secara otomatis... tidak perlu dialihkan.;Negatif
Novi Riyanti Rahman;1;08/11/2022 06.50;Driver nya semua kasar. Minta di batalkan orderan selalu, hampir 1 jam terkadang selalu saja tidak ada driver, pernah ada salah satu driver sampai ngomong jorok, ngomong alat kelamin dan pelecehan lainnya. Aplikasi ini tidak aman, karena rata-rata semua driver nya kasar, bawa orang di dalam mobil, menelpon dengan suara keras dan seperti tidak ada adab dengan pelanggan, walau bagi kalian kami membayar dengan tarif murah, jika kalian tidak berkenan silahkan berhenti, tidak perlu jadi driver Maxim,;Negatif
dana asmara;1;08/11/2022 06.24;aplikasi busuk, pesan gamasuk, anjeng, perbaiki lah appnya, pesan dr driver gamasuk ke saya, pdhl di notif ada, kalo kek gini kan susah komunikasi;Negatif
Githa Anggiany;4;08/11/2022 05.07;Pelayanan ny msh harus d perbaiki .. msh suka muter2 driver ny saat menjemput penumpang ... Di tmbh d aplikasi sudah saya batalkan krn lama nunggu ga ada jawaban .. tp tiba2 drver mengabari klo dia udh nyampe lokasi .. pdhl itu sudah saya batalkan .. efeknya c driver marah krn merasa d mainkan .. tolong ya d perbaiki pelayanan nya;Positif
Iffah Fajriah;1;08/11/2022 04.46;Padahal murah, tapi bad banget buat titik alamat ga lengkap dan ga pas. Btw ini dia titiknya ambil sesuai maps apa buat sendiri deh 😁 Ampe gelud ama kurir, kurir nya juga ngotot katanya gua yang salah kasih titik anjay. Gua screenshot petanya ke kurir emang kurirnya yang nyasar wkakakak. Ditingkatan lagi dong sayang kan udah mulai dikenal tapi ga ada peningkatan layanan;Negatif
Novi Andriani;5;07/11/2022 16.36;untuk kirim paket, anter jemput motor/mobil pasti lebih murah, iseng2 pesen makanan dan beneran lebih murah gara2 syopifud skg mahal jd males banget pake, selisihnya banyak banget. yukkk yg anak kost wajib pesen pake maxim kl di oren udh mahal;Positif
Raysha Avriellya;4;07/11/2022 11.30;lebih dtingkatkan lagi Maps nya agar titik penjemputan tidak salah jalur lagi..dan lebih pas sesuai titik penjemputan...makasih sukses selalu;Positif
Chan Adita;1;07/11/2022 10.59;Susah sekali input tujuan saat mau delivery, aplikasi sering ngebug juga, loading lama,map ngaco, daftar titik di map juga gak bisa, musti hub cs, cs nya aja slow respon, hrg kurirnya doank murah, aplikasi menyusahkan bgini untuk apa, skrg aplikasi & jasa kurir sejenis sudah banyak, musti nya dibenahi bug nya, dibenerin layanan cs nya;Negatif
Nurul Hikmah;3;07/11/2022 08.23;Hari ini saya order maxim motor dan saya batalkan karena titik jemputnya tiba2 berubah dan prmbatalan berhasil. Kemudian saya order lagi dan sudah dapat driver, tiba2 pemesanan maxim pertama yg sudab berhasil dibatalkan berubah menjadi aktif lagi. Kemudian sekitar seminggu lalu saya tidak order maxim, tiba ada notif klo driver tidak bisa jemput karena kejauhan. Tolong ya maxim ini aplikasinya di cek lagi, yang mana ini menyebabkan penumpang sama driver bisa berantem gara2 aplikasi nya. Thanks;Negatif
Clarity Studio;3;07/11/2022 05.58;Kok applikasi ini suka gak jelas, udah ad driver yg ngambil dan udah d antar barangnya, ehh ni aplikasi nyari driver baru lagi dengan titik yg sama, gak jelas, jd gk enak sama driver nya, d kira main2;Negatif
Rosida Rifa;1;07/11/2022 04.39;"Ga banget kalo lagi pesen yang maxim car lelet, padahal di map tuh banyak banget yang deket sama lokasi pesan. Udah sampek 1 jam an ga dapet"". Sekalinya dapet malah di cancel sama drivernya";Negatif
Syafaruddin;5;07/11/2022 04.02;Baru pertama tes driver, alhamdulillah dapat driver yg attitudenya baik, soal harga memang terbukti lebih murah daripada aplikasi sebelah dengan rute yg sama.....semoga ke depan tetap dapat mempertahankan layanan yg sudah bagus.;Positif
harajuku prananda;5;07/11/2022 02.52;Aplikasi udah murah ga ada lawan, saran buat driver kerja harus iklas biar tarif murah selama penumpang baik jalanin aja, dan saran buat penumpang tolong lebihin sesuai kemampuan dan hati jngn bayar se enaknya, kalopun ga ada minimal jadi penumpang yg baik dan tau diri;Positif
Jeaneth Noviantika Menno Bire;1;06/11/2022 21.51;Apliaksinya parah banget, cuman mau ngecek harga untuk order makanan aja masih dibawa ke web gak lgsg di apknya, terus langsung ke order aja gitu pdhl gak tekan pesan dan pas aku dihubungi karna pesanan itu pun udah lewat banget dari jam yg tiba² ke order sendiri itu🥲 menggangu dan tidak ramah banget 👎;Negatif
Putut Sugiharto;1;06/11/2022 16.17;Maxim itu ribet karena mengacu pada here map kepunyaan Nokia beda dg Google map yang org lebih familiar. Alamat sudah di masukan dengan benar BLAZZ tidak terbaca;Negatif
Deny Anugrah;2;06/11/2022 15.45;Pencarian driver terlalu jauh, nunggu 8 menit rata-rata, driver juga sering tidak membawa kembalian pas. Untuk app nya biasa aja.;Negatif
sarine sayangku;1;06/11/2022 12.58;Murah sich... Tapi kurang bngt dalam segala hal.. Saya baru nemu di maxim sich order makanan saya juga yg nanggung biaya parkirnya. Di aplikasi sebelah gk gitu. Dan lagi saat mau berpergian titiknya gak bisa sesuai lokasi yg kita mau tuju dengan tepat. Tolong diperbaiki lagi lah buat kenyamanan Kastemer. Apa lagi pesan makanannya banyak warung tutup tapi gk ada pemberitahuan warung di aplikasi masih bukacatau tutup. Parah;Negatif
imeldaaa;1;06/11/2022 11.59;Apl Maxim ini knp driver terlalu lama,tolong blokir aj apl ini , driver yang tidak datang tepat waktu sehingga menunggu lama .;Negatif
Yayang Rani;3;06/11/2022 10.30;Baru kali ini ada driver maxim mobil yg nelpon minta tarifnya dinaikkan, padahal kn biasanya juga suka dikasih lebih klo emg jauh mh,, klo diminta gitu rasanya ga enak, pdhl yg sebelumnya juga sesuai tarif ga masalah, jaraknya juga sama, aneh banget ih jd bete Yg baik mh driver motornya, semuanya the best Mobil mh ga banget 👎;Negatif
sony nurpriyanto;1;06/11/2022 06.31;Aneh maxim app perlu perbaikan, tombol memesan seharusnya perlu input lokasi penjemputan/tujuan tp langsung terhubung ke driver. Supaya konsumen baru tidak bingung;Negatif
Arian Dhafin;4;06/11/2022 06.01;Waktu tunggu gratis 5 menit, lebih dr itu jadi berbayar. Tapi kalau drivernya yang lebih dari waktu estimasi penjemputan kok nggak ada potongan biaya keterlambatan yaa 😅;Positif
Nia Ramadhan;4;05/11/2022 13.53;"maxim untuk daerah kuala kapuas kalau bisa lebih d perbanyak lg tempat"" food maxim nya ,soal nya sedikit sekali pilihan nya .";Positif
Vensy Retor;1;05/11/2022 12.54;Tolong perbaiki lg.. saya mo cb pesan makanan tp pas dibatalin ngga bisa lalu cari pengemudinya jg susah banget kek pada ngga mau.. pas saya batalin disuruh edit pas edit malah dibilang pesan 2.. ngga jelas;Negatif
Puan Raissa Lenka;3;05/11/2022 06.04;Saya sebenarnya suka dgn aplikasi maxim, tapi kenapa ya makin kesini drivernya suka ngeselin. Kan kesel ya, suka ngajak ribut dll. Tolong dong maxim, drivernya diajarin sopan santun dan etika;Negatif
Nur Aisyah;1;04/11/2022 16.28;Lokasii tidak akuraaat, pesan lamaa masuk. Sering dapaat driver yg seenaknyaa. Pengalaman sayaa selama menggunakan maxim sering ketemu driver yg kalau dikasih uang besar dikembalikan tdk sesuai nominal, mengambil untung 5% dari hargaa yg tertera diapk. Sudah beberapa kali nemu driver yg seperti ini. Selain itu driver suka ugal ugalan bawa motor, nyalip dan hampir nabrak. Saran sayaa maxim dibuat ada penilaian juga seperti diberi bintang kepada drivernya. Sehingga driver dpt diberikan sanksi.;Negatif
Lia Puspita Fitriani;4;04/11/2022 15.58;Murah. Murah. Murah. Mumer * Murah Meriah* Sayang nya kurang perluas map nya. Kalau coba di tingkat kan lagi Map nya biar mempermudah pelanggan dan driver 🙏🏻;Positif
Fathurrahman Adzani;1;04/11/2022 10.21;Sangat buruk segala ada biaya tambahan karena menunggu, awalnya 8.000 jadi 11.000, padahal salah drivernya muter muter lama nyari tempat. Gak terima 3.000 saya terbuang karena kelicikan permainan maxim. Apa apaan ini;Negatif
Fahri Syafri;5;04/11/2022 06.24;"Kalau kalian udh benar"" ngerti cara make maxim pasti kalian kasih bintang 5 kekurangannya ada beberapa bug yg emng menganggu pengguna semoga maxim cepat menyelesaikan bug tersebut di tunggu ya maxim 💪";Positif
Enny Mao;1;03/11/2022 13.35;Tolong donk diadakan edukasi buat driver, masa saya pesan maxim melalui pembayaran non tunai alias pakai saldo akun malah dikira drivernya saya mencoba nipu sampai tiap naik Maxim harus debat dulu. Driver taunya cuma cash, sedangkan di aplikasi kan ada pilihan non tunai 😒;Negatif
Rafif Ahmad Firjatullah;4;03/11/2022 12.30;masih kurang lengkap ni lokasi lokasi nya, kalo cari lokasi ga kedeteksi dipencarian. tolong tingkatkan lagi kaya apk sebelah biar lebih mudah;Positif
manda S;1;03/11/2022 11.27;"Driver pemalas krna tarif murah banyak alasan saya dicancel berkali"" dengan berbagai macam alasan...pengemudi tidak mau mengambil orderan yg ngantarnya dekat...lebih baik mahal pake aplikasi lain dibanding murah tpi menyusahkan...";Negatif
amry febriyanto;1;03/11/2022 05.55;Aplikasi kacau. Baru mencet tujuan belom selesai oemesanan tiba tiba udh kepesan jadi banyak driver yg dateng. Bisa dobel order. Kaga enak sama drivernya;Negatif
jay maj;5;03/11/2022 05.08;Cepat dan lebih murah dari aplikasi lain. Lebih bagus lagi kalo bisa simpan saldo, pembayaran pakai seperti Ovo, Dana atau digital lainnya.;Positif
Jovanca Annatasya;3;02/11/2022 23.59;Aplikasinya bagus, ramah di kantong pelajar. Tapi sayang titik lokasi kebanyakan tidak di temukan dan suka ngaco alamatnya. Tolong di perbaiki, sayang aplikasi bagus tapi sering slek sama driver cuma gara gara lokasi;Negatif
Vivi Rotty;2;02/11/2022 08.05;Hallo Maxim, masukan untuk maxim spya kedepannya gk banyak customer yg complaint nih,, lebih selektif dan teliti lgi saat ada Driver2 baru yg mendaftar jdi driver maxim, pastikan mereka tau/ Hafal setiap lokasi tempat mreka beroperasi,, Saya sdh sering banget Dapat Driver Baru yg Tidak paham Jalan alhasil selalu terlambat melewati batas waktu jemput karena Nyasar,, please pastikan mreka penduduk setempat kan kelihatan tuh dr KTP mreka, jgn asal2 main Acept2 aja saat ada driver baru yg daftar;Negatif
Muhammad Said (m a m a t);1;02/11/2022 07.55;"diversi sebelumnya masih bisa buka sharelok wa langsung ke alamat tujuan maxim sekarang malah tdk bisa bikin tambah susah. ""kalo ada yg ribet kenapa harus yg mudah""";Negatif
