userName,score,at,content,Kategori
christ nockend,1.0,26/09/2022 03.49,aplikasi,Negatif
Ilham Aulia,1.0,26/09/2022 02.08,tolong,Negatif
Muhammad Restu Raihan Dani,4.0,25/09/2022 23.50,harga,Positif
Febbri Setiawan,1.0,25/09/2022 12.52,aplikasi,Negatif
Cherry Cela,5.0,25/09/2022 12.36,tarif,Positif
Endang Sri Wahyuni,5.0,25/09/2022 07.58,mohon,Positif
Marlina Nurazizah,3.0,24/09/2022 15.04,rekomendasi,Negatif
Dimas Arvi,5.0,24/09/2022 10.23,tolong,Positif
Jumadil الرحمن,5.0,24/09/2022 10.16,murah,Positif
Chai Wan lie,3.0,24/09/2022 06.41,pas,Negatif
Rahmat Sulaiman,3.0,24/09/2022 00.34,gak,Negatif
Fahrian_ 89,5.0,23/09/2022 17.28,aplikasi,Positif
M AJ Channel,1.0,23/09/2022 16.16,maxim,Negatif
Yona Nur,3.0,23/09/2022 16.04,maps,Negatif
ochan sajalos33,3.0,23/09/2022 06.05,tolong,Negatif
Christianto Bagus,5.0,23/09/2022 04.48,harga,Positif
Aulia Farahdila Tsany,2.0,23/09/2022 04.28,niat,Negatif
17-034 Sofyana Dewi,5.0,23/09/2022 03.40,order,Positif
curi angin,4.0,22/09/2022 23.17,baik,Positif
9I ,,,nan,Negatif
aldo Julius,1.0,22/09/2022 20.24,tolong,Negatif
Deni Kusnadi,2.0,22/09/2022 14.46,tolong,Negatif
Saitama Genos,5.0,22/09/2022 03.33,drivernya,Positif
Anugerah Agung Fadillah,2.0,22/09/2022 00.56,kasih,Negatif
isnaniah 172,2.0,21/09/2022 14.21,tolong,Negatif
Ika Muliana,5.0,21/09/2022 11.00,lengkap,Positif
Ambon City Of Music Official,3.0,21/09/2022 05.43,harga,Negatif
Dwi Purwanti,2.0,21/09/2022 05.34,app,Negatif
D'N4UMH1E,2.0,21/09/2022 05.00,maxim,Negatif
Leoni Fico,2.0,21/09/2022 04.01,terima,Negatif
ratna subekti,5.0,21/09/2022 01.27,login,Positif
Chairunnas Fuadi,5.0,21/09/2022 01.13,wilayah,Positif
Evan warputar,3.0,20/09/2022 22.39,aplikasi,Negatif
meytia eka putri,3.0,20/09/2022 13.23,neng,Negatif
EKY CHRISTOFER,3.0,20/09/2022 08.39,bagus,Negatif
Janitra Putri,5.0,20/09/2022 05.35,harga,Positif
Warinten 17,5.0,20/09/2022 04.56,promosi,Positif
Dini Sopiani,4.0,20/09/2022 03.01,kali,Positif
Silvia andriani,2.0,20/09/2022 02.28,pas,Negatif
Anas Nasrudin,3.0,19/09/2022 16.49,unggul,Negatif
Nabila Almaidah,5.0,19/09/2022 16.09,driver,Positif
Aini Wijoyo,5.0,19/09/2022 11.05,biaya,Positif
Andika Krishna Mukti,4.0,19/09/2022 08.30,maxim,Positif
INDRA Somantri,2.0,19/09/2022 07.04,google,Negatif
ack ONEKOZE,5.0,19/09/2022 03.37,aplikasi,Positif
Intan yuliana Fauzan,5.0,18/09/2022 23.13,order,Positif
Inggrid Fransiska,3.0,18/09/2022 06.52,tolong,Negatif
Reza Naufal,3.0,18/09/2022 03.54,user,Negatif
Sucitra Mustika,2.0,17/09/2022 15.37,aplikasi,Negatif
Viktoria Dara Timaro,3.0,17/09/2022 15.00,maxim,Negatif
Naomi Eleksia,5.0,17/09/2022 10.20,aplikasihnya,Positif
Siti SitiNurbaeti,1.0,17/09/2022 08.28,parah,Negatif
Sri Noufry Geysya,1.0,17/09/2022 07.03,aplikasi,Negatif
ryzki stark,3.0,16/09/2022 16.17,tolong,Negatif
Fathir Azry Astadeca,5.0,16/09/2022 12.34,moga,Positif
Siti Yuliyanti,3.0,16/09/2022 11.56,ok,Negatif
Teohappy,3.0,16/09/2022 09.43,hujan,Negatif
kaka samosir,1.0,16/09/2022 07.26,aplikasi,Negatif
Maulana Sidik Darma,1.0,16/09/2022 05.25,aplikasi,Negatif
Nur Alim Hidayat Patilima,1.0,16/09/2022 04.21,suka,Negatif
حيفان احمد حافظ,1.0,16/09/2022 04.14,aneh,Negatif
abdi habibi,5.0,16/09/2022 03.36,aplikasi,Positif
Baswara Nadia,2.0,15/09/2022 15.52,harga,Negatif
Lya Mulyantini,5.0,15/09/2022 14.55,aplikasi,Positif
Seria Ria,1.0,14/09/2022 08.45,cari,Negatif
Askana Frozen Food,5.0,14/09/2022 06.25,driver,Positif
Haidar Nabil,2.0,14/09/2022 02.44,harga,Negatif
Sabrina Salsabila Utama,2.0,13/09/2022 03.57,murah,Negatif
Ibu Sundari's Kitchen,3.0,11/09/2022 01.32,kacau,Negatif
NiLy,2.0,10/09/2022 07.54,harga,Negatif
DdkHNdr,5.0,04/09/2022 01.20,maps,Positif
Abah Iwan,1.0,03/09/2022 15.04,bagus,Negatif
Tri Amin Ridho,2.0,07/08/2022 17.12,tampil,Negatif
sri hidayatisatpolpp,4.0,29/07/2022 14.06,aplikasi,Positif
Deleted Account,4.0,09/07/2022 02.34,harga,Positif
Hetaa Datz,2.0,06/07/2022 08.03,order,Negatif
Hasra Murni,3.0,01/07/2022 08.07,aplikasi,Negatif
een sukaenah,4.0,29/06/2022 13.56,maxim,Positif
Darma,1.0,29/06/2022 10.32,error,Negatif
Desta Lina,2.0,21/06/2022 23.21,tolong,Negatif
Devita Purwiyani,4.0,18/06/2022 01.47,maxim,Positif
